Dates,Rate
2020-02-25,3.7
2020-02-26,3.6
2020-02-27,3.6
2020-02-28,3.5
2020-02-29,3.9
2020-03-01,3.9
2020-03-02,3.9
2020-03-03,3.9
2020-03-04,3.9
2020-03-05,3.9
2020-03-06,3.9
2020-03-07,4.0
2020-03-08,3.8
2020-03-09,3.8
2020-03-10,3.9
2020-03-11,4.0
2020-03-12,4.3
2020-03-13,4.3
2020-03-14,4.2
2020-03-15,4.3
2020-03-16,4.0
2020-03-17,4.0
2020-03-17,3.8
2020-03-18,4.0
2020-03-19,3.9
2020-03-20,4.0
2020-03-21,3.9
2020-03-22,3.8
2020-03-23,3.9
2020-03-24,3.9
2020-03-25,4.0
2020-03-26,4.0
2020-03-27,4.1
2020-03-28,4.3
2020-03-29,4.3
2020-03-30,4.2
2020-03-31,4.3
2020-04-01,4.7
2020-04-02,5.5
2020-04-03,5.2
2020-04-04,5.2
2020-04-05,5.2
2020-04-06,5.3
2020-04-07,5.3
2020-04-08,5.3
2020-04-09,5.6
2020-04-10,6.0
2020-04-11,7.0
2020-04-12,6.8
2020-04-13,6.6
2020-04-14,6.9
2020-04-15,6.5
2020-04-16,7.5
2020-04-17,7.9
2020-04-18,8.0
2020-04-19,7.7
2020-04-20,7.5
2020-04-21,7.5
2020-04-22,8.0
2020-04-23,7.8
2020-04-24,7.7
2020-04-25,7.7
2020-04-26,8.5
2020-04-27,9.0
2020-04-28,9.0
2020-04-29,8.6
2020-04-30,8.8
2020-04-31,8.8
2020-05-01,8.7
2020-05-02,8.8
2020-05-03,10.0
2020-05-04,10.5
2020-05-04,10.0






































































